Q1.1: What type of booking did you make today? (select all that apply) *,Subsite,Q1.7: Please share why you are dissatisfied with the overall website. *,Q1.5: Overall experience,Start Date (+00:00 GMT)
Hotel,accenture2us,DONT SHOW ME RATES I DONT QUALIFY FOR (i.e. military room rates)! It is also very difficult to browse hotels. IF you click back you have to start over. You can't search for hotels by chain (i.e. include all SPG hotels only).,1,2/4/2019 16:00
"Hotel,Car",eytravelerllp,"It's been awhile since I booked anything, but it would be nice to search by the name of the hotel. If that is possible it wasn't clear.",3,2/11/2019 15:36
Hotel,accenture2us,too many errors,1,2/11/2019 5:44
"Hotel,Car",novartisuscwt,the system doesn't recognize address and gives poor options in terms of the closest or nearest hotel to the event.  ,3,2/11/2019 0:01
Hotel,phillips66na,"needs to display more hotels on one page, also need more preferred Company hotels per city",3,2/9/2019 12:35
"Air,Hotel,Car",phillips66na,"When I first tried to book a room at the hotel, although it showed plenty of rooms available, the system kept saying no room at this price. I called the hotel directly and they showed plenty of rooms available as well. I tried again after the call, and I was able to book a room in the hotel as the lowest available price! (I tried to call Bartlesville Travel but it was after hours.)",3,2/9/2019 1:14
"Air,Hotel",eytravelerllp,"Search is slow and clunky. Policy rates are unrealistic for any travel so you have to book ""out of policy"" because there is no ""in policy."" 
Had to book this twice because my card on file expired and I had a new one issued recently. Didn't find that out until I had made all my plans. I had to lose my trip to fix it.",2,2/8/2019 21:12
"Hotel,Rail",accenture2us,Cannot change a hotel booking on an existing trip.  I need to create a whole new trip for the same hotel!,3,2/8/2019 20:45
"Air,Hotel,Car",travelersus,"Inconsistent hotel choices and cost.  An example, I just tried to book a hotel in Houston that I normally stay at that is normally in policy.  It was out of policy and I actually spent more on another hotel that was in policy.  

Seems wasteful and inconsistent to past preferences.  

",3,2/8/2019 19:29
Hotel,travelersus,"Under special requests, i have 2 selected automatically. If I unselect one, it does not allow me to select another one. So I unselect king bed and all the boxes go gray and I can't select any others. It says I can select up to 3 but something is not working right. ",3,2/8/2019 19:11
"Air,Hotel",wellpointus,The site keeps resetting the hotel list every time a specification is changed. It isn't very intuitive or user friendly and will sometimes force a hotel to be booked even though it might be in a dangerous area. The list of preferred hotels needs to be updated.,2,2/8/2019 17:21
"Air,Hotel,Car",toyotacorp_bcd,Not clear why out of policy,2,2/1/2019 15:44
"Air,Hotel",accenture2us,"Lowest price shown is the government rate, which I can't use, and when I see the Accenture Rate it is much higher. So the lowest price shown is useless to me. I would like an option to filter out by rate type. Also, when I click on return to search results, the zoomed in area of the map resets so I have to zoom again or set the radius to 1 mile vs the default of 30 miles to get in the center city area I'm interested in. Just very clunky when trying to compare rates based on location.",3,2/7/2019 23:40
"Air,Hotel",novartisuscwt,"when i gave the address of the convention center, too many hotels far away, one should use smart search",3,2/7/2019 22:41
"Air,Hotel",business_travel,I wish it was more intuitive to put in your location and search hotels near by your visit. Also the last time I booked the booking was unsuccessful after I already purchased the trip,3,2/7/2019 21:21
"Air,Hotel",mitreatlas,Couldn't book 2 hotels during this period.,1,2/7/2019 17:58
"Air,Hotel",emtravelus,"again, could not find the hotel all others are staying at no matter how I searched - hotel name, city, address, zip code - wasted 30 mins before I gave up and called EMTS",1,2/7/2019 17:03
"Air,Hotel",emtravelus,See comments earlier provided for overall site. ,2,2/7/2019 16:30
"Air,Hotel",travelersus,"to wide of a range, drop downs inadequate for reasons why",3,2/6/2019 19:15
Hotel,eytravelerllp,.,1,1/30/2019 18:50
"Air,Hotel,Car",emtravelca,unable to book by location (i.e. select an address and find a hotel nearby),2,2/6/2019 16:31
"Air,Hotel",wellpointus,why are so many hotels out of policy?,3,1/30/2019 14:11
"Air,Hotel",northamerica,The screen takes forever to load and scroll through.  It's not efficient when looking for hotels. ,3,2/6/2019 0:05
Hotel,mmc_bcd,See prior answer,3,2/5/2019 23:30
"Air,Hotel",travelersus,"It never saves the search when you go back and forth between hotel details.  And I don't understand why it shows a rate that's not available for Travelers (e.g. AAA or Sr. Citizen).  So back and forth, back and forth...each time having to re-enter the search filters whether I used the browser back or the link 'return to search results'.  Such a time waster.",3,2/5/2019 22:42
"Air,Hotel",cernerus,"I wish I could only see the rates that relate to my stay... I don't need to see AAA Senior Discounts or other discounts. I would love have the ability to more accurately filter by cap, but searching for general rate, not lowest rate",3,2/5/2019 22:21
"Air,Hotel",scbonlineukama,kept saying rate and room not available and wouldnt let me book ,2,2/5/2019 17:08
"Air,Hotel,Car",mmc_marsh,I couldn't seem to locate a place to change the date and book the 2nd night in a different city.  I'll have to wait for my assistant to book the 2nd night.,2,2/5/2019 0:32
"Air,Hotel",eytravelerllp,poor filtering choices,3,2/4/2019 22:43
"Air,Hotel",eytravelerllp,"As stated previously, it would accept a date change. I had to try several times and start over before it took the correct date. ",2,2/4/2019 21:15
"Air,Hotel,Car",mmc_marsh,not very clear how to narrow location search for hotel. Took me awhile to figure out I could put in address,3,2/4/2019 21:03
"Air,Hotel",cocacola,It's not working.,1,2/4/2019 20:11
"Air,Hotel,Car",novartisuscwt,not able to book hotel stay for second leg of trip,3,2/4/2019 18:16
Hotel,mmc_bcd,Couldn't book a hotel,3,2/4/2019 15:21
Hotel,novartisuscwt,Not intuitive; hard to navigate when I need to change an existing reservation,3,2/4/2019 3:09
"Air,Hotel",accenture2us,The hotel search does not return results for the location I selected on the first page of results.,1,2/4/2019 0:44
"Air,Hotel",novartisuscwt,"Shows NVS preferred hotels with all sorts of price ranges, but no guidance on what is and what isn't allowed. ",2,2/3/2019 4:56
"Air,Hotel,Car",mmc_bcd,already stated --- dumb!!!!!!,1,2/2/2019 4:59
"Air,Hotel,Car",toyotacorp_bcd,"When I cannot complete a booking and waste a couple hours of my time, the evaluation is very dissatisfied.",1,1/25/2019 19:49
"Air,Hotel",eytravelerllp,"Too many errors trying to complete a booking with hotels.  Example, on this itinerary I had two hotels booked. It errored saying it couldn't complete the highlighted hotel booking.  But neither one was highlighted, so I had to experiment with different rates, different hotels, all while the clock was ticking on the whole itinerary.  If it just did what it said and HIGHLIGHT THE ERROR it would be a lot less annoying.",3,2/1/2019 16:34
Hotel,toyotacorp_bcd,I don't need to see the hotels that are out of range.  There is way too much info on screen to even find what notice you are trying to tell me.  It should also save my reason for traveling so I don't have to reenter each time.  ,2,2/1/2019 17:08
"Air,Hotel,Car",m_fidelity_us,I would like to see the 1st list of hotels presented to follow my Profile: reward programs are listed. Hilton properties are my preference and I ALWAYS have to make the change.,3,2/1/2019 15:12
"Air,Hotel",eytravelerllp,"The selected option was not available and then when I went to select another room options, room rates went up.",2,1/25/2019 5:47
Hotel,eytravelerllp,see earlier comment,1,2/1/2019 1:41
"Air,Hotel",eytravelerllp,x,1,1/25/2019 1:06
"Air,Hotel",samsungussdi,Location search returns hotels in Russia when searching in the republic of korea,1,1/31/2019 23:40
"Air,Hotel,Car",teradataus,DITTO,1,1/31/2019 23:20
Hotel,eytravelerllp,Not as easy to use as other travel booking sites.  Why can't you make it more useful?,1,1/31/2019 22:04
"Air,Hotel,Car",toyotacorp_bcd,See note earlier,2,1/24/2019 21:08
"Air,Hotel",flexus,Site would not let me book multiple hotels,2,1/31/2019 19:40
"Air,Hotel",eytravelerllp,"hard to tell when hotel is capped, hard to find location",3,1/31/2019 3:03
"Air,Hotel",ngpproduction,"clunky interface, difficult layout, complex flow.",3,1/30/2019 23:56
"Air,Hotel,Car",accenture2us,could be easier to navigate and use,3,1/30/2019 18:31
"Air,Hotel",teradataus,"Clunky, ridged.",1,1/30/2019 16:30
"Air,Hotel,Car",eytravelerllp,same,3,1/22/2019 22:24
"Air,Hotel,Car",emtravelbe,Standard hotel list not complete for Houston Campus - could not find Residence Inn Spring and Marriott Cityplace shows ridiculous rate (900$/night),3,1/29/2019 16:52
"Air,Hotel",emtravelin,"To begin, I chose from the EM approved list of hotels and the chose the lowest cost hotel, Further the cost per day was exactly a sper EM contracted rate... still I was warned that I have gone out of policy and I had to select reason and that too ONLY ONE... while drivers are combination of many.
All these makes the experience uncomfortable as I kept on revisiting the whole process couple of times.. just to check I am not missing anything.
Thanks for hearing me out.
Regards
Hemant",2,1/29/2019 6:02
"Air,Hotel",emtravelau,"like I said before, its finding the hotel location not necessary the hotel itself.",3,1/29/2019 1:19
"Air,Hotel,Car",m_fidelity_us,Per above comment - the search experience is poor ,3,1/28/2019 20:39
Hotel,mmc_marsh,new system and information,3,1/28/2019 20:39
"Air,Hotel",eytravelerllp,Hotels were not coming up easily in the search (search by name),1,1/28/2019 19:42
"Air,Hotel",eytravelerllp,"Because the travel system was not working correctly, when I went to book the Marriott in downtown Chicago it was open and available.  When I submitted it for booking it was no longer available along with 6 other hotels.  So I had to do further research to find another hotel not that far from the office.  It should have said X rooms left ... I had to start the entire search over multiple times. ",2,1/28/2019 17:21
"Air,Hotel",toyotacorp_bcd,Please see previous comments,3,1/28/2019 15:45
"Air,Hotel",wellpointus,not many options for hotels.,2,1/28/2019 15:01
"Air,Hotel,Car",m_fidelity_us,"I gave start and end dates, and twice it ignored the end date",1,1/26/2019 18:03
"Air,Hotel",eytravelerllp,Often times it will FORCE me to pick a hotel even when I do not need one and do not select the hotel check mark.,3,1/26/2019 14:44
"Air,Hotel",m_fidelity_us,See prior comments,3,1/25/2019 23:32
"Air,Hotel",alcon_us,After booking hotel and was about to purchase I had to go back and enter my cc info to my profile.,2,1/25/2019 22:31
